T,Temp,Volt
0,298.522,9830.05
0.5,298.515,9833.393
1,298.512,9834.673
1.5,298.509,9835.962
2,298.507,9836.907
2.5,298.506,9837.118
3,298.541,9821.628
3.5,298.876,9671.432
4,299.78,9279.62
4.5,300.693,8901.93
5,301.446,8603.975
5.5,302.076,8363.503
6,302.604,8167.553
6.5,303.061,8002.519
7,303.47,7857.916
7.5,303.836,7731.06
8,304.154,7622.69
8.5,304.441,7526.496
9,304.693,7443.234
9.5,304.917,7369.824
10,305.116,7305.467
10.5,305.296,7247.978
11,305.457,7196.791
11.5,305.601,7151.406
12,305.729,7111.305
12.5,305.845,7075.353
13,305.946,7043.99
13.5,306.031,7017.966
14,306.113,6992.598
14.5,306.186,6970.427
15,306.251,6950.609
15.5,306.309,6932.915
16,306.365,6916.158
16.5,306.412,6901.852
17,306.457,6888.355
17.5,306.499,6875.624
18,306.536,6864.753
18.5,306.567,6855.258
19,306.601,6845.274
19.5,306.632,6835.808
20,306.663,6826.764
20.5,306.692,6818.135
21,306.717,6810.567
21.5,306.742,6803.201
22,306.765,6796.332
22.5,306.788,6789.483
23,306.809,6783.422
23.5,306.826,6778.477
24,306.843,6773.302
24.5,306.858,6768.822
25,306.871,6765.11
25.5,306.882,6761.881
26,306.89,6759.647
26.5,306.895,6758.176
27,306.901,6756.361
27.5,306.906,6754.686
28,306.913,6752.711
28.5,306.922,6750.146
29,306.929,6747.948
29.5,306.94,6744.967
30,306.942,6744.388
30.5,306.942,6744.381
31,306.938,6745.344
31.5,306.933,6746.754
32,306.925,6749.178
32.5,306.913,6752.853
33,306.898,6757.322
33.5,306.881,6762.281
34,306.872,6764.798
34.5,306.862,6767.9
35,306.848,6771.906
35.5,306.824,6779.072
36,306.779,6792.181
36.5,306.719,6809.969
37,306.642,6832.848
37.5,306.558,6858.127
38,306.461,6887.282
38.5,306.372,6913.961
39,306.29,6938.671
39.5,306.187,6969.953
40,306.099,6997.041
40.5,306.06,7008.996
41,305.989,7030.807
41.5,305.886,7062.434
42,305.81,7086.078
42.5,305.727,7112.035
43,305.617,7146.295
43.5,305.495,7184.84
44,305.372,7223.83
44.5,305.245,7264.161
45,305.121,7303.899
45.5,304.996,7344.292
46,304.878,7382.515
46.5,304.762,7420.454
47,304.647,7458.186
47.5,304.537,7494.47
48,304.428,7530.853
48.5,304.322,7566.083
49,304.217,7601.612
49.5,304.112,7636.915
50,304.007,7672.479
50.5,303.907,7706.827
51,303.811,7739.496
51.5,303.722,7770.373
52,303.633,7801.126
52.5,303.544,7832.047
53,303.46,7861.423
53.5,303.379,7889.879
54,303.297,7918.494
54.5,303.215,7947.494
55,303.129,7978.167
55.5,303.043,8009.021
56,302.951,8041.792
56.5,302.859,8074.976
57,302.767,8108.437
57.5,302.679,8140.304
58,302.592,8171.877
58.5,302.504,8204.144
59,302.417,8236.179
59.5,302.331,8267.991
60,302.247,8299.294
